CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,,Gov't Expenditure % of GDP ,Country,,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
63,Ghana,Ghana,Sub-Saharan Africa,89,9,59.8,60.7,57.0,45.4,82.8,83.8,7.8,60.9,55.4,70.8,63.0,70,60,11.0,Ghana,30.0,25.0,14.1,Ghana,23.2,Ghana,Ghana,31.1,$175.2 ,0.9,5.0,"$5,693",4.5,9.9,"1,877.0",78.0
64,Greece,Greece,Europe,77,38,61.5,76.0,69.9,52.3,59.9,17.9,67.6,70.3,61.1,78.6,79.2,55,50,2.9,Greece,44.0,24.0,38.7,Greece,52.3,Greece,Greece,10.7,$307.9 ,-8.2,-0.8,"$28,748",16.9,-1.3,"3,572.0",213.1
65,Guatemala,Guatemala,Americas,69,15,63.2,39.8,36.9,26.5,91.5,94.0,83.3,62.1,50.3,79.3,75.0,70,50,5.0,Guatemala ,7.0,25.0,13.1,Guatemala,14.1,Guatemala,Guatemala,16.9,$149.0 ,-1.5,2.3,"$8,293",4.7,2.4,915.0,31.7
66,Guinea,Guinea,Sub-Saharan Africa,129,25,54.2,21.4,27.8,25.6,69.3,92.8,92.0,45.4,49.5,69.7,66.4,50,40,9.3,Guinea,40.0,35.0,15.6,Guinea,15.5,Guinea,Guinea,13.1,$36.4 ,5.2,7.6,"$2,604",4.4,10.6,325.0,41.4
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,166,42,46.0,29.1,14.0,15.9,88.8,85.8,31.3,31.5,56.4,83.4,55.8,30,30,12.1,Guinea-Bissau,20.0,25.0,9.5,Guinea-Bissau,21.8,Guinea-Bissau,Guinea-Bissau,2.0,$4.3 ,-2.4,3.1,"$2,348",3.2,1.5,20.0,78.1
68,Guyana,Guyana,Americas,91,19,59.5,46.9,47.4,41.5,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55,30,5.3,Guyana,33.3,40.0,23.2,Guyana,29.0,Guyana,Guyana,0.8,$15.5 ,43.4,12.1,"$19,684",15.8,0.7,"1,834.0",43.9
69,Haiti,Haiti,Americas,145,28,50.0,24.1,18.6,14.3,81.5,97.0,94.8,33.5,54.7,56.2,65.4,30,30,7.3,Haiti,30.0,30.0,7.4,Haiti,10.1,Haiti,Haiti,11.4,$33.2 ,-3.7,0.1,"$2,916",14.5,22.9,30.0,25.1
70,Honduras,Honduras,Americas,92,20,59.5,40.3,29.0,25.4,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65,60,6.7,Honduras ,25.0,25.0,21.9,Honduras,26.6,Honduras,Honduras,9.9,$54.2 ,-8.0,1.4,"$5,450",9.4,3.5,419.0,48.9
72,Hungary,Hungary,Europe,48,29,66.9,75.8,62.2,44.4,84.1,31.6,58.4,77.2,61.2,78.5,79.2,80,70,2.9,Hungary ,15.0,9.0,35.8,Hungary,47.7,Hungary,Hungary,9.7,$322.7 ,-5.0,2.3,"$33,030",4.4,3.3,"4,169.0",81.2
73,Iceland,Iceland,Europe,13,9,77.0,97.1,94.8,85.3,72.9,36.8,76.1,83.3,67.4,79.3,81.0,80,70,2.0,Iceland,31.8,20.0,36.1,Iceland,45.9,Iceland,Iceland,0.4,$20.4 ,-6.6,2.2,"$55,966",5.0,2.9,-811.0,79.9
